time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-11-14-9a4d496d5e8512550fda732df395bf4d572306f783e2f46745cff8e448298195.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-11-29-fad2f2bd37459ce52028b15cb46fd6d1081e0354b1e54efcf34c6ed212aca568.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-11-32-3bf8f16bc2b2b42022700a89e0e3d7ce256b41065a90e05e0511e5df31c1d377.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-11-43-20b86263b98cebb2488ea979c49d369e4dac37752fe362887f7d85c06eb21896.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-12-20-d474b313114876225acb38ef64d125a5821c3a42e2fb68b63f2adcaa79879e1e.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-12-23-2a6571e87988edcfe2bebf1684aa5b788f966c7810c20b11f3fc61473cfe5cb6.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-12-32-c7057c642f108e9238f8ab535c91fee5837039850d450d037425a7f2b39ec84d.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-12-44-ee5c3fd34a1b20863f3cfb57deebfbc6381b42bcde7a5951c44b536dcbe82410.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-12-51-90282a2f679fc9e02245dda206ff81616235551fe8e0d7c6ac3dad66bc07aed8.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-12-55-4b48e5ca2178a316f318a4607a3575a8b086eb427dc65fea7bc064ef176021e2.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-13-15-d6c5658ea2c2d34ec1765cec48c8a68b667f94a6c5fcff2a8b9a5d773e765702.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-13-15-f2d4844779333760664121cef66efb9749781c97210f969ecacaa10b91b2fa24.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-13-20-cf740d165867676dd64ff983e5532549f9fb079b01b0c49beecd8ed3e3af5825.plot
time="2022-08-03T08:20:18Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-13-20-f49a1dfcbdecaa7ab8baca88e3d64d6039f4b2552e3f1dbb78bd4fdfa952b432.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-13-39-712292ebe12ac6c6eac17c7ac895660194de6aefc5dc28d431765443fe33ed88.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-13-50-81ee3c8733ebf3c19eeb7d8173c859c5d9e23db1363253c0fcbf75c091bb1926.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-14-08-c8184ace21eade7ca39447bec0baed48818751ec0da11d395d31877611351d0b.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-14-18-db1e03933297c7231e94b14add724de67da9c9099021580ad1d77666075a1ab6.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-14-27-9e1d08d3a068e5c67c8f815df1534d02e880fb9f03e850e90292feaa168daf55.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-14-33-949b4597366050482dd76c35ef1e34686911cb23975903f0f0be12d0ac5f677a.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-14-57-56bc6fd835b793309e2b02516e265011e866760229c18625a353d2c6035cb211.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-13-2edf5504862842757ab74840eaaa668cb5b70155ba403e7a1ed3d8c9909df6e7.plot
time="2022-08-03T08:20:19Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-15-15-3f4e470745b95c7b54ade5cd34f7ff7f14593da3ef69ec1237c1a58d365366cb.plot
